288077,498,503,507
288081,499,508,509
288086,505,509,509
288089,520,505,510
288093,523,506,509
288097,514,503,509
288101,502,505,507
288105,501,511,505
288109,504,508,505
288113,505,508,508
288117,506,507,508
288121,504,511,505
288125,508,511,505
288130,504,510,506
288134,499,504,506
288138,504,507,508
288142,511,509,508
288145,507,507,507
288149,511,506,509
288153,501,505,512
288157,495,505,513
288161,499,506,513
288165,504,506,513
288169,514,503,511
288174,516,503,509
288178,507,506,509
288182,508,514,510
288186,511,506,508
288190,506,500,508
288194,511,504,508
288198,503,502,505
288201,500,505,509
288204,508,507,508
288208,503,508,510
288212,503,512,509
288217,504,514,507
288221,509,515,509
288225,507,509,507
288229,504,504,505
288233,506,503,505
288237,509,507,507
288241,511,512,508
288245,507,512,511
288249,506,508,512
288253,510,507,510
288258,506,506,507
288261,509,503,507
288265,505,503,510
288269,503,506,515
288273,509,513,516
288277,509,514,514
288281,511,514,512
288285,511,512,510
288289,513,511,507
288293,503,513,504
288297,508,517,510
288302,505,518,511
288306,507,517,510
288310,519,514,510
288314,509,513,508
288317,504,516,509
288321,508,515,509
288325,507,510,509
288329,509,512,510
288333,512,516,509
288337,503,516,510
288342,508,510,511
288346,504,507,510
288350,504,510,508
288354,509,516,510
288358,509,509,509
288362,505,506,508
288366,512,502,510
288370,518,505,511
288373,514,508,511
288377,507,509,510
288381,507,509,508
288386,503,507,509
288390,511,509,508
288394,515,511,508
288398,510,512,508
288402,506,510,505
288406,506,512,506
288410,510,513,506
288414,509,507,506
288418,512,500,503
288422,517,499,503
288427,514,506,508
288430,518,511,506
288434,513,510,505
288438,512,510,506
288442,507,510,509
288446,514,508,509
288450,522,507,508
288454,511,510,509
288458,501,512,509
288462,499,510,508
288466,506,511,508
288471,511,519,509
288475,511,510,507
288479,510,503,505
288483,507,504,507
288486,510,513,509
288490,509,515,512
288494,519,509,515
288498,504,507,517
288502,511,508,514
288506,513,510,510
288510,522,510,508
288515,510,508,508
288519,503,507,510
288523,499,512,513
288527,501,513,511
288531,506,512,509
288535,508,510,509
288539,508,509,508
288542,514,508,509
288546,512,512,511
288550,505,514,509
288555,508,510,512
288559,508,504,513
288563,514,506,516
288567,517,509,516
288571,501,510,514
288575,502,506,508
288579,510,507,511
288583,504,511,513
288587,506,514,514
288591,508,509,513
288595,508,505,512
288599,504,503,509
288603,508,508,510
288607,518,509,508
288611,505,508,509
288615,498,506,508
288619,505,504,505
288623,509,506,505
288627,502,508,506
288631,504,502,507
288635,510,503,507
288640,513,506,510
288644,508,512,510
288648,508,516,510
288652,503,510,510
288655,502,508,509
288659,506,510,510
288663,510,515,508
288667,516,515,511
288671,507,512,511
288675,495,508,510
288679,502,511,509
288684,509,515,510
288688,509,510,510
288692,503,505,510
288696,510,503,510
288700,519,509,512
288704,505,514,516
288708,508,512,516
288711,502,509,515
288715,508,511,513
288719,511,515,515
288723,515,513,513
288728,516,510,512
288732,511,508,513
288736,503,510,512
288740,508,515,511
288744,516,514,510
288748,508,514,510
288752,511,513,507
288756,512,514,508
288760,511,512,509
288764,505,508,509
288768,508,503,507
288772,520,503,508
288776,505,509,506
288780,502,513,509
288784,506,513,510
288788,504,507,506
288792,500,508,506
288796,511,515,507
288800,506,519,510
288804,508,512,509
288808,502,513,512
288813,512,513,514
288817,512,511,514
288821,505,510,516
288824,502,510,516
288828,506,512,517
288832,507,514,515
288836,505,515,514
288840,513,513,510
288844,506,510,511
288848,508,509,511
288852,504,506,507
288857,507,509,505
288861,507,511,505
288865,507,503,506
288869,509,502,507
288873,514,507,506
288877,510,509,505
288880,505,508,507
288884,501,505,508
288888,498,507,508
288892,506,510,507
288897,508,511,508
288901,506,509,506
288905,504,510,507
288909,509,504,507
288913,514,506,508
288917,510,506,508
288921,505,506,509
288925,506,500,507
288929,500,503,510
288933,505,510,509
288936,506,510,510
288941,508,510,509
288945,508,508,510
288949,512,506,509
288953,508,512,511
288957,499,510,507
288961,501,506,506
288965,510,510,507
288969,511,513,508
288973,513,517,511
288977,502,510,508
288982,503,505,509
288986,500,506,511
288990,509,506,511
288993,506,505,509
288996,508,508,509
289000,505,508,507
289004,510,506,508
289008,508,513,512
289012,503,506,510
289016,504,503,510
289020,509,508,512
289025,510,510,511
289029,506,511,507
289033,513,512,504
